<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20190227,00:00:00,155.7000000,157.1500000,154.8200000,156.4000000,19613350
20190228,00:00:00,156.3700000,159.2500000,156.0200000,158.9900000,34637820
20190301,00:00:00,158.9200000,159.5500000,156.3100000,156.7100000,21869220
20190304,00:00:00,156.7500000,156.7600000,154.4000000,154.4000000,17191730
20190305,00:00:00,154.0400000,154.6500000,153.1100000,153.2000000,20106870
20190306,00:00:00,153.3500000,154.4500000,153.0700000,154.2000000,17118260
20190307,00:00:00,154.0000000,154.1900000,151.5800000,151.9000000,19664780
20190311,00:00:00,151.9000000,152.4700000,150.5100000,151.6000000,19475200
20190312,00:00:00,152.2400000,152.9500000,150.8400000,151.6400000,15459330
20190313,00:00:00,151.2500000,153.3000000,150.6600000,153.3000000,18541850
20190314,00:00:00,153.3500000,154.4000000,152.5300000,152.6800000,19954820
20190315,00:00:00,152.9800000,154.5600000,152.1100000,154.5600000,33323370
20190318,00:00:00,154.1700000,156.4800000,153.6000000,155.8400000,22046180
20190319,00:00:00,155.8400000,156.4500000,154.6000000,155.5000000,17522800
20190320,00:00:00,155.5400000,156.1400000,154.0000000,156.0900000,20074900
20190321,00:00:00,156.3000000,156.7000000,154.5200000,155.3300000,28106530
20190322,00:00:00,155.0200000,155.0200000,151.8500000,152.2900000,23196800
20190325,00:00:00,151.2200000,152.2900000,150.7200000,152.2900000,22489970
20190326,00:00:00,151.9900000,152.9100000,150.8300000,151.1200000,21606970
20190327,00:00:00,150.9000000,151.4400000,149.0300000,149.4900000,23876030
20190328,00:00:00,149.6800000,150.7500000,148.8300000,149.9800000,16368070
20190329,00:00:00,150.1700000,151.6400000,149.1300000,149.6100000,26427080
20190401,00:00:00,150.2700000,154.8100000,149.9200000,154.5300000,37014640
20190402,00:00:00,154.8500000,155.8000000,153.3000000,155.0000000,30932830
20190403,00:00:00,155.3500000,157.5800000,155.3100000,156.9900000,33767480
20190404,00:00:00,156.8000000,158.8900000,156.4000000,158.8900000,22962870
20190405,00:00:00,158.3700000,159.5000000,157.8700000,158.6000000,22836310
20190408,00:00:00,158.8700000,160.8800000,158.8700000,160.5000000,25792120
20190409,00:00:00,160.4500000,163.3500000,159.8000000,162.7000000,40138250
20190410,00:00:00,162.4000000,164.9500000,162.1200000,162.8800000,38948440
20190411,00:00:00,162.3700000,162.9500000,158.0400000,158.0400000,44918320
20190412,00:00:00,158.5700000,160.4600000,157.9000000,159.1200000,29292480
20190415,00:00:00,160.0000000,160.6000000,157.6200000,158.3300000,18161810
20190416,00:00:00,158.9900000,163.4200000,158.2100000,162.2400000,27268370
20190417,00:00:00,163.0000000,165.4000000,162.4000000,164.0000000,28383560
20190418,00:00:00,163.6200000,163.7900000,160.8500000,161.7900000,19619030
20190419,00:00:00,161.9400000,162.5700000,161.5000000,162.5700000,3846150
20190422,00:00:00,163.2100000,164.3400000,162.7600000,163.5000000,8932150
20190423,00:00:00,163.5800000,163.8500000,160.9100000,162.4200000,15143870
20190424,00:00:00,162.9300000,163.0700000,159.1800000,160.5700000,25714110
20190425,00:00:00,160.1900000,160.9500000,158.8000000,159.3100000,21705450
20190426,00:00:00,159.0500000,161.0000000,158.5800000,161.0000000,17621560
20190429,00:00:00,161.2000000,164.7400000,160.6800000,163.9300000,31180350
20190430,00:00:00,164.0300000,165.4000000,163.0100000,163.9500000,31318480
20190502,00:00:00,163.6700000,166.8500000,163.6700000,165.7100000,20687740
20190503,00:00:00,166.2100000,166.9800000,165.8300000,166.3100000,13220120
20190506,00:00:00,164.9800000,165.4500000,163.3400000,165.4500000,15413420
20190507,00:00:00,165.0100000,166.2700000,164.2100000,164.2100000,19239460
20190508,00:00:00,164.4900000,165.4400000,163.5500000,163.5700000,17864410
20190510,00:00:00,163.6100000,164.9000000,162.6200000,163.6100000,16115500
20190513,00:00:00,163.5400000,164.3400000,163.0000000,163.0000000,16929890
20190514,00:00:00,163.0000000,190.9000000,162.6500000,189.6700000,182155530
20190515,00:00:00,193.0300000,198.4000000,192.2900000,195.6100000,135042030
20190516,00:00:00,194.6100000,203.4500000,194.2400000,202.7000000,99939840
20190517,00:00:00,201.8100000,202.3000000,197.7100000,198.8900000,49498930
20190520,00:00:00,200.2000000,201.4800000,198.3000000,200.8000000,27257450
20190521,00:00:00,201.4000000,210.9800000,199.0100000,207.8000000,90723200
20190522,00:00:00,208.9200000,210.1100000,206.3300000,208.1000000,34914980
20190523,00:00:00,207.1000000,212.1800000,205.8400000,208.8600000,54423660
20190524,00:00:00,209.4900000,210.2000000,203.7600000,204.5000000,28977610
20190527,00:00:00,204.2500000,206.6000000,200.8400000,206.2000000,28108030
20190528,00:00:00,206.0000000,206.0000000,201.0000000,203.1300000,61116250
20190529,00:00:00,202.1000000,207.6900000,201.1100000,207.1400000,42885290
20190530,00:00:00,207.9000000,216.4500000,207.5700000,213.1000000,77165630
20190531,00:00:00,212.0000000,215.2700000,210.0500000,215.1000000,43583100
20190603,00:00:00,214.4000000,251.6500000,213.5000000,235.5100000,218623740
20190604,00:00:00,233.5000000,235.5900000,223.5200000,230.1600000,109468310
20190605,00:00:00,230.2500000,233.3000000,228.0400000,230.0100000,40189180
20190606,00:00:00,230.0000000,236.6200000,228.7100000,231.4500000,55255260
20190607,00:00:00,233.1300000,233.7700000,230.0000000,230.5000000,42161970
20190610,00:00:00,230.9600000,234.3000000,230.4000000,232.1000000,30561990
20190611,00:00:00,232.3300000,237.6300000,231.1300000,234.8600000,44830680
20190613,00:00:00,233.7400000,237.3500000,233.0100000,234.4400000,35344770
20190614,00:00:00,234.3800000,235.4400000,231.2600000,231.5100000,25324550
20190617,00:00:00,231.5500000,234.4400000,229.6300000,229.8100000,32323620
20190618,00:00:00,229.6800000,232.3000000,228.3000000,232.1300000,32150900
20190619,00:00:00,232.5000000,235.4200000,232.0000000,232.4600000,31792020
20190620,00:00:00,234.0000000,234.4500000,231.4500000,232.5200000,44745000
20190621,00:00:00,232.5000000,232.5200000,228.8500000,229.0900000,47026920
20190624,00:00:00,229.5400000,233.0400000,229.4700000,232.3800000,22048370
20190625,00:00:00,232.0200000,232.1900000,229.6400000,232.0900000,21479600
20190626,00:00:00,232.5200000,233.6000000,232.0000000,233.1000000,19194980
20190627,00:00:00,233.0100000,234.9300000,232.6000000,232.6000000,22173120
20190628,00:00:00,233.2100000,235.4700000,232.3500000,232.8300000,42417300
20190701,00:00:00,234.1600000,248.4300000,234.1000000,245.5000000,79789230
20190702,00:00:00,246.2500000,249.2600000,243.7000000,246.6500000,31516910
20190703,00:00:00,246.0100000,251.6000000,245.5500000,251.6000000,44695140
